name,url,private,language,stars,forks,open_issues,size_kb,archived,created_at,pushed_at,fork,description,is_template,topics,has_license,size_mb,year_created,days_since_last_push,is_active,stage
house-price-ml,https://github.com/gmdkaio/house-price-ml,False,Jupyter Notebook,2,0,0,13018,False,2026-04-16 09:32:06+00:00,2026-04-17 02:34:23+00:00,False,ML pipeline for predicting California housing prices using Random Forest with 79.3% accuracy,False,"['house-price-prediction', 'machine-learning', 'random-forest', 'regression', 'scikit-learn']",True,12.712890625,2026,137,False,In progress
keman-datacleaning,https://github.com/gmdkaio/keman-datacleaning,True,Makefile,0,0,0,10864,False,2026-08-20 02:38:38+00:00,2026-08-20 03:43:49+00:00,False,,False,[],False,10.609375,2026,12,True,Live
lending-club,https://github.com/gmdkaio/lending-club,False,Jupyter Notebook,0,0,0,25177,False,2026-05-11 16:30:27+00:00,2026-05-15 17:07:26+00:00,False,,False,[],False,24.5869140625,2026,108,False,In progress
litro-scrape,https://github.com/gmdkaio/litro-scrape,True,Python,0,0,1,183,False,2026-01-29 12:40:41+00:00,2026-05-25 21:55:15+00:00,False,,False,[],False,0.1787109375,2026,98,False,In progress
machines-profills-dc,https://github.com/gmdkaio/machines-profills-dc,True,Jupyter Notebook,0,0,0,11,False,2026-03-09 15:46:38+00:00,2026-03-09 16:52:57+00:00,False,Data cleaning ,False,[],False,0.0107421875,2026,175,False,In progress
magi,https://github.com/gmdkaio/magi,True,,0,0,0,0,False,2026-03-11 02:55:25+00:00,2026-03-11 02:55:26+00:00,False,"A multi-agent AI system inspired by the MAGI supercomputers from Evangelion, where three specialized models debate before voting on critical decisions.",False,[],False,0.0,2026,174,False,In progress
openrgb-agm700-driver,https://github.com/gmdkaio/openrgb-agm700-driver,False,C,2,0,0,14,False,2026-02-23 13:21:25+00:00,2026-02-23 23:58:06+00:00,False,Custom C driver and config tool syncing AGM700 mouse with Matugen and OpenRGB,False,[],False,0.013671875,2026,189,False,In progress
otto-reports,https://github.com/gmdkaio/otto-reports,True,HTML,0,0,0,13442,False,2026-07-27 18:06:49+00:00,2026-08-25 16:49:11+00:00,False,,False,[],False,13.126953125,2026,6,True,Live
otto-sys,https://github.com/gmdkaio/otto-sys,True,Python,0,0,0,432,False,2026-08-26 18:45:38+00:00,2026-09-01 14:36:18+00:00,False,,False,[],False,0.421875,2026,0,True,Live
scrape-cg,https://github.com/gmdkaio/scrape-cg,False,Jupyter Notebook,0,0,0,11,False,2026-02-03 12:41:21+00:00,2026-02-03 13:39:07+00:00,False,,False,[],False,0.0107421875,2026,210,False,In progress
smtp,https://github.com/gmdkaio/smtp,False,Python,0,0,0,1,False,2024-09-17 11:28:25+00:00,2024-09-17 14:01:55+00:00,False,,False,[],False,0.0009765625,2024,714,False,Stub
SPP,https://github.com/gmdkaio/SPP,False,Jupyter Notebook,0,0,0,1732,False,2026-04-17 06:48:41+00:00,2026-04-22 03:29:43+00:00,False,Sales probability predictor,False,[],False,1.69140625,2026,132,False,In progress
stochastic-dcf-engine,https://github.com/gmdkaio/stochastic-dcf-engine,False,R,4,0,0,727,False,2026-08-03 22:26:31+00:00,2026-08-21 14:30:00+00:00,False,"C + R hybrid engine executing 1,000,000 Monte Carlo DCF paths in ~0.045s",False,"['c', 'discounted-cash-flow', 'financial-modeling', 'monte-carlo', 'multithreading', 'quantitative-finance', 'rstats', 'xoshiro256']",False,0.7099609375,2026,11,True,Live
swte,https://github.com/gmdkaio/swte,True,HTML,0,0,0,3806,False,2025-01-06 18:27:04+00:00,2025-01-06 20:32:18+00:00,False,,False,[],False,3.716796875,2025,602,False,Stub
webscrapecetro,https://github.com/gmdkaio/webscrapecetro,True,Jupyter Notebook,0,0,0,1926,False,2025-03-19 11:44:45+00:00,2025-03-27 11:48:25+00:00,False,,False,[],False,1.880859375,2025,523,False,Stub
webscrape_IEexpoChina,https://github.com/gmdkaio/webscrape_IEexpoChina,False,Python,0,0,0,19,False,2024-04-25 17:27:55+00:00,2024-04-25 18:51:58+00:00,False,,False,[],False,0.0185546875,2024,858,False,Stub
webscrape_MAPA,https://github.com/gmdkaio/webscrape_MAPA,False,Python,0,0,0,8,False,2023-10-22 23:04:05+00:00,2023-11-07 17:14:18+00:00,False,Webscrape from MAPA system,False,[],False,0.0078125,2023,1028,False,Stub
webscrape_PMMI,https://github.com/gmdkaio/webscrape_PMMI,False,Python,0,0,0,580,False,2023-11-13 17:25:44+00:00,2023-11-17 13:06:16+00:00,False,Webscraping the pmmi website,False,[],False,0.56640625,2023,1019,False,Stub
ytdownload,https://github.com/gmdkaio/ytdownload,False,Python,0,0,0,0,False,2024-09-12 19:01:49+00:00,2024-09-12 20:04:59+00:00,False,,False,[],False,0.0,2024,718,False,Stub
ytsummarizer,https://github.com/gmdkaio/ytsummarizer,False,Python,0,0,0,4,False,2024-09-09 07:22:18+00:00,2024-09-09 10:52:24+00:00,False,The projects goal is to get an Youtube video via URL and summarize its bullet points automatically.,False,[],False,0.00390625,2024,722,False,Stub
crm,https://github.com/profillsbrasil/crm,True,JavaScript,0,1,9,173373,False,2025-10-13 12:22:06+00:00,2026-09-01 15:41:33+00:00,False,,False,[],False,169.3095703125,2025,0,True,Live
